[1.0, 4.0, 0.8, 1.0, 8.064000000000002, 1.6421644253849865, 8.159999999999997, 1.534666087460071]
[1.0, 4.0, 0.8, 2.0, 17.594, 2.539992913375942, 16.288, 2.3365478809560063]
[1.0, 4.0, 0.8, 3.0, 27.846, 2.9695595633022758, 23.41599999999999, 2.870774111629127]
[1.0, 4.0, 0.8, 4.0, 38.21199999999999, 3.5572821085767137, 32.151999999999994, 3.4681545524961845]
[1.0, 4.0, 0.8, 5.0, 47.78199999999999, 4.486521592503484, 40.391999999999975, 3.4935277299600758]
[1.0, 4.0, 0.8, 6.0, 56.215999999999994, 4.074671029666076, 47.816, 3.996566526407387]
[1.0, 4.0, 0.8, 7.0, 66.43399999999997, 5.089758736914745, 56.144, 4.350087815205572]
[1.0, 4.0, 0.8, 8.0, 75.21799999999999, 5.8190098814145355, 63.767999999999994, 4.131122849783096]
[1.0, 4.0, 0.8, 9.0, 86.42999999999998, 6.540236998763882, 72.07800000000003, 5.41175720076206]
[1.0, 4.0, 0.8, 10.0, 95.64, 7.285437529757562, 81.31, 4.9668803086041855]
[1.0, 4.0, 0.8, 11.0, 104.15400000000001, 6.770870254258311, 90.68999999999994, 5.302329676661006]
[1.0, 4.0, 0.8, 12.0, 115.54199999999997, 7.962326042055798, 101.23, 6.361344197573342]
[1.0, 4.0, 0.8, 13.0, 123.444, 6.352107051994639, 111.23400000000004, 6.379094293079546]
[1.0, 4.0, 0.8, 14.0, 134.82799999999995, 7.107236875185742, 118.64599999999997, 6.109654982075501]
[1.0, 4.0, 0.8, 15.0, 145.174, 7.9382443902918505, 127.87200000000003, 6.968013777253887]
[1.0, 4.0, 0.8, 16.0, 152.692, 8.213765031944853, 138.71200000000002, 8.958540952632854]
[1.0, 4.0, 0.8, 17.0, 162.62600000000003, 7.4991015461853845, 148.32999999999996, 7.182889390767483]
[1.0, 4.0, 0.8, 18.0, 172.90600000000003, 8.809470131625398, 157.61599999999993, 8.743440055264294]
[1.0, 4.0, 0.8, 19.0, 181.70599999999996, 8.0387290040155, 166.2, 6.9946265089710105]
[1.0, 4.0, 0.8, 20.0, 190.796, 7.753191858841108, 177.588, 7.643288297585013]
[1.0, 4.0, 0.8, 21.0, 201.14199999999994, 9.96587356933651, 187.56799999999996, 9.734956394355345]
[1.0, 4.0, 0.8, 22.0, 210.97799999999995, 9.03211580970926, 196.298, 8.901033423148123]
[1.0, 4.0, 0.8, 23.0, 218.97600000000006, 9.848828559783138, 205.73799999999991, 7.998684641864562]
[1.0, 4.0, 0.8, 24.0, 227.5579999999999, 9.388771804661143, 215.01800000000003, 9.65028890759235]
[1.0, 4.0, 0.8, 25.0, 239.08799999999997, 10.409277400473103, 224.12800000000004, 8.884661839372388]
[1.0, 4.0, 0.8, 26.0, 247.41199999999986, 10.379549893901952, 235.3439999999999, 10.027166299608277]
[1.0, 4.0, 0.8, 27.0, 257.6760000000001, 10.819381867740876, 245.53000000000011, 9.443362748512838]
[1.0, 4.0, 0.8, 28.0, 268.4, 9.281551594426444, 255.59799999999996, 11.040742547491993]
[1.0, 4.0, 0.8, 29.0, 277.1940000000002, 10.567552412928928, 264.15799999999996, 11.066283748395392]
[1.0, 4.0, 0.8, 30.0, 288.038, 11.413349902635954, 272.82999999999987, 10.984438993412459]
[1.0, 4.0, 0.8, 31.0, 298.10200000000003, 10.36800829474977, 280.89, 10.836397002694206]
[1.0, 4.0, 0.8, 32.0, 308.2519999999999, 11.955906322818024, 294.004, 11.7945743458592]
[1.0, 4.0, 0.8, 33.0, 316.14, 11.411835960966142, 300.32000000000005, 11.534123287012324]
[1.0, 4.0, 0.8, 34.0, 326.34, 11.46024432549324, 310.9620000000001, 10.829725573623737]
[1.0, 4.0, 0.8, 35.0, 335.75399999999996, 11.125065572840457, 321.18799999999993, 10.603954733966006]
[1.0, 4.0, 0.8, 36.0, 344.9240000000001, 12.39499189188924, 329.82, 10.98761120535306]
[1.0, 4.0, 0.8, 37.0, 355.30199999999996, 13.118612579080155, 340.93800000000005, 10.654377316389725]
[1.0, 4.0, 0.8, 38.0, 364.0779999999998, 14.008908451410486, 349.43800000000005, 10.010182615716863]
[1.0, 4.0, 0.8, 39.0, 372.57599999999985, 13.02542989693623, 357.68600000000004, 10.931651476332386]
[1.0, 4.0, 0.8, 40.0, 383.94200000000006, 12.911709259428056, 366.68799999999993, 12.229548478991369]
[1.0, 4.0, 0.8, 41.0, 392.094, 15.624530840956472, 377.64399999999995, 10.698171058643629]
[1.0, 4.0, 0.8, 42.0, 400.704, 10.77279833655119, 388.876, 13.18692625292187]
[1.0, 4.0, 0.8, 43.0, 410.1679999999999, 12.65596207326808, 394.8220000000002, 11.348511620472527]
[1.0, 4.0, 0.8, 44.0, 423.56799999999987, 13.449065989874546, 404.45600000000013, 10.450457597636564]
[1.0, 4.0, 0.8, 45.0, 431.80799999999965, 13.157200918128442, 414.03600000000034, 11.766099778601243]
[1.0, 4.0, 0.8, 46.0, 444.22200000000004, 14.962029140460858, 427.5259999999998, 13.18218965119224]
[1.0, 4.0, 0.8, 47.0, 447.6180000000001, 13.12042971857249, 430.8780000000001, 12.264547117606915]
[1.0, 4.0, 0.8, 48.0, 460.27400000000017, 14.070867919215216, 441.15200000000004, 13.33722969735469]
[1.0, 4.0, 0.8, 49.0, 469.934, 13.448183669180015, 449.93800000000005, 12.855899657355762]
[1.0, 4.0, 0.8, 50.0, 479.5400000000001, 16.146813927211774, 460.918, 12.358967432597272]
